feature,Ridge_coef,Lasso_coef,abs_max
Heater4Temp__slope,-0.006699708647758277,-0.0,0.006699708647758277
HeliumBPFlow__slope,0.006658646696962173,0.0,0.006658646696962173
SourceRFPeakToPeak__mean,0.006532931200891505,0.0,0.006532931200891505
HeliumBPFlow__range,0.00637270768226097,-0.0,0.00637270768226097
Gas7Flow__range,0.006149831336085819,0.0,0.006149831336085819
Heater3Temp__std,0.005861259740305758,0.0027075380581902155,0.005861259740305758
Pressure__mean,0.0055766507345583905,0.0,0.0055766507345583905
HeliumBPPressure__mean,-0.0050756883459361175,-0.0,0.0050756883459361175
PlatenRFTuningCapacitor__slope,-0.004950246141931935,-0.0,0.004950246141931935
Gas4Flow__mean,0.004556217572258781,0.0,0.004556217572258781
PlatenRFReflectedPower__std,0.004255892864764049,0.0,0.004255892864764049
SourceRF2TuningCapacitor__std,0.004184799363803115,0.0,0.004184799363803115
SourceRFLoadPower__mean,0.004107836135311946,0.0,0.004107836135311946
SourceRF2TuningCapacitor__mean,-0.004058564921318957,-0.0,0.004058564921318957
PlatenRFPeakToPeak__range,-0.0035102599620033753,0.0,0.0035102599620033753
SourceRFTuningCapacitor__slope,0.0035048740910128937,0.0,0.0035048740910128937
SourceRFPeakToPeak__slope,-0.003259793546739273,-0.0,0.003259793546739273
PlatenRFLoadPower__std,-0.0030695598546607813,-0.0,0.0030695598546607813
PlatenRFLoadPower__mean,0.003060644595775389,0.0,0.003060644595775389
Pressure__slope,-0.0028087634788020437,-0.0,0.0028087634788020437
HeliumBPPressure__slope,0.002777584917518957,-0.0,0.002777584917518957
moriInnerCurrent__std,-0.0027747791585941125,0.0,0.0027747791585941125
SourceRFLoadPower__slope,-0.0026288418632600943,-0.0,0.0026288418632600943
ForeLinePressure__slope,-0.0024106400050772007,-0.0,0.0024106400050772007
PlatenRFPeakToPeak__slope,-0.002390398718679512,-0.0,0.002390398718679512
Heater1Temp__slope,0.0021423989779835373,0.0,0.0021423989779835373
Gas5Flow__slope,0.002110449449360736,-0.0,0.002110449449360736
SourceRFPeakToPeak__std,-0.0017959584852652063,-0.0,0.0017959584852652063
Heater4Temp__mean,0.0017111189517534145,-0.0,0.0017111189517534145
SourceRFLoadPower__std,-0.001315597114283861,-0.0,0.001315597114283861
SourceRFTuningCapacitor__std,-0.0013017426755817581,0.0,0.0013017426755817581
SourceRF2PeakToPeak__mean,0.0011374891738248566,0.0,0.0011374891738248566
Heater3Temp__slope,0.0010103536487289274,-0.0,0.0010103536487289274
moriInnerCurrent__range,0.0009706206537166682,0.0,0.0009706206537166682
SourceRF2PeakToPeak__std,-0.0008917121443032096,0.0,0.0008917121443032096
PlatenRFLoadCapacitor__std,-0.0008646677673948243,-0.0,0.0008646677673948243
Heater1Temp__mean,0.00028913387044466265,0.0008498411372267202,0.0008498411372267202
SourceRFTuningCapacitor__mean,-0.0007367874576280011,-0.0,0.0007367874576280011
PlatenRFLoadPower__slope,0.00046853070189136425,-0.0,0.00046853070189136425
Heater1Temp__std,0.0004287068817223629,0.0,0.0004287068817223629
moriInnerCurrent__mean,-0.00033799558989184344,-0.0,0.00033799558989184344
Gas1Flow__mean,0.00018839714041786102,0.0,0.00018839714041786102
PlatenDcBias__slope,1.1149995676623626e-05,-0.0,1.1149995676623626e-05
