feature,lot8,other_mean,other_std,z
PlatenRFLoadPower__mean,40.1190902709961,40.78458684285482,0.06328478854627273,-10.515901011064065
Gas4Flow__slope,-0.030996077649963066,-0.04107077797696256,0.0011422409227827993,8.820118528457968
Gas5Flow__std,273.29046630859375,271.0991656268085,0.2630311754765524,8.330954221738653
PlatenRFTuningCapacitor__slope,-0.004902338446908481,-0.005433453065007079,6.498857288256794e-05,8.172430852702425
PlatenRFLoadPower__std,23.388916969299316,23.036914811310943,0.043436798322737176,8.10377770877547
PlatenRFLoadPower__slope,0.008820973470310023,0.003971323918436296,0.0006054153635040202,8.010450088027083
Gas1Flow__mean,7.579266738891602,7.243915474856341,0.04206533543201003,7.972152381318507
SourceRFLoadPower__mean,2533.29326171875,2577.812591326678,5.6220364595197765,-7.918719476204009
Gas5Flow__slope,0.10971129047910375,0.06294931620240335,0.006157619724094177,7.594164039348723
PlatenRFPeakToPeak__std,238.60069580078124,232.29003041585287,0.8470884785193755,7.449830265616139
ForeLinePressure__slope,0.026552160232931436,0.014763022817681742,0.001597412040679678,7.380148086422066
SourceRFPeakToPeak__slope,0.9801639556086764,0.6371282922044789,0.04952786214301585,6.92611488890139
PlatenRFPeakToPeak__mean,514.0352844238281,523.5840846308956,1.3846838335749798,-6.8960147981322315
PlatenRFPeakToPeak__slope,0.1353598394784886,0.07314905500034272,0.009201483239942711,6.760951778740967
ForeLinePressure__std,36.81041259765625,35.04642598187482,0.2618033479127971,6.737830626860403
PlatenRFLoadCapacitor__slope,0.04241672411977525,0.033171049597603856,0.0014584329841788903,6.339457913026276
SourceRFPeakToPeak__mean,3001.23837890625,3048.1159758391204,7.439280497292708,-6.301361663931072
SourceRFLoadPower__slope,0.8031599938439152,0.505273917899226,0.04764277357526823,6.252492321297692
SourceRFPeakToPeak__std,874.0341430664063,809.149468089916,10.462833920699744,6.201443649805237
SourceRFLoadPower__std,773.9554016113282,720.269169334129,10.258710657836065,5.233233889503576
PlatenRFLoadCapacitor__std,17.292998695373534,14.514387596978082,0.6025381132233575,4.611510935849192
SourceRFReflectedPower__slope,-0.042160663465878795,-0.05731135641950469,0.003508047396646022,4.318839297357039
PlatenRFLoadCapacitor__mean,84.23116760253906,85.55271312572339,0.31960348242484693,-4.134953452815023
PlatenRFReflectedPower__slope,-0.002189012840911628,-0.002765430072547832,0.00014242815382808785,4.047073672891564
Pressure__range,0.030496500073932092,0.028104462944385025,0.0006918782571051136,3.4573092953601186
PlatenRFLoadCapacitor__range,47.78727172851562,40.56466948473895,2.6158307683955573,2.761112198480147
HeliumBPFlow__range,0.2035096126794814,0.09128696505670192,0.041452891514867474,2.707233283896004
PlatenRFLoadPower__range,79.68146209716797,79.5169436702022,0.06285047125222734,2.6176164424533273
ForeLinePressure__range,90.46754104614257,86.10966996934678,1.8006003492098759,2.4202322734792716
Heater2Temp__slope,0.000660326028838694,0.0008872940294509873,9.392233309076775e-05,-2.4165498571351334
Gas7Flow__slope,2.0308345478617014e-05,-4.699807873519465e-06,1.0400985991943705e-05,2.404402176053987
