lot_number,wafer_number,date,experiment_key,n_points,si_etch_mean,si_etch_std,si_etch_min,si_etch_max,oxide_etch_mean,oxide_etch_std,stepheight_mean,preox_mean,postox_mean,si_etch_range,si_nu_pct,si_cv_pct,selectivity,n_wafers_planned,measurements,cond_rep,cond_type,cond_label
2,1,2024-07-05,2024-07-05_01,9,40.67755555555556,1.0310832169508812,39.3174,42.7074,0.6252777777777778,0.055911264021165225,41.30283333333333,0.9977666666666667,0.3724888888888889,3.3900000000000006,4.166917054996204,2.534771824090252,65.05517547756553,10,89 & 9 points,1,Chuck,Chuck_1x
2,2,2024-07-05,2024-07-05_02,9,40.748666666666665,1.0345609866025296,39.4112,42.82,0.6292666666666666,0.0557889998117909,41.37793333333333,0.9978,0.3685333333333333,3.4087999999999994,4.182713544819462,2.538883038960448,64.75580040258502,10,89 & 9 points,1,Chuck,Chuck_1x
2,3,2024-07-05,2024-07-05_03,9,40.55758888888889,1.0197647466995086,39.2271,42.5961,0.6223777777777778,0.05533420682041484,41.17996666666667,0.9972555555555557,0.37487777777777775,3.3689999999999998,4.153353407212734,2.5143623539684388,65.16554789873959,10,89 & 9 points,1,Chuck,Chuck_1x
2,4,2024-07-05,2024-07-05_04,9,40.09654444444445,1.0030139095634638,38.7944,42.1037,0.6141444444444444,0.05482661559660397,40.71068888888889,0.9970222222222223,0.38287777777777776,3.3093000000000004,4.1266648359002405,2.501497132634919,65.28845910299786,10,89 & 9 points,1,Chuck,Chuck_1x
2,5,2024-07-05,2024-07-05_05,9,40.22003333333333,1.0173047957716521,38.8906,42.2601,0.6123444444444445,0.05489030221977083,40.83237777777778,0.9968333333333332,0.3844888888888889,3.369500000000002,4.1888329282007915,2.5293484650807985,65.68204169766472,10,89 & 9 points,1,Chuck,Chuck_1x
2,6,2024-07-05,2024-07-05_06,9,40.10883333333334,1.0227198541145062,38.7916,42.1608,0.6098,0.05463707532436195,40.71863333333333,0.9971555555555555,0.38735555555555556,3.3691999999999993,4.200072303274839,2.5498618860712465,65.7737509565978,10,89 & 9 points,1,Chuck,Chuck_1x
2,7,2024-07-05,2024-07-05_07,9,39.994011111111114,1.0322444107918953,38.6642,42.0934,0.6075,0.05503049154786825,40.60151111111111,0.9969666666666667,0.3894666666666667,3.4292000000000016,4.287141880409319,2.5809974596549474,65.83376314586191,10,89 & 9 points,1,Chuck,Chuck_1x
2,8,2024-07-05,2024-07-05_08,9,39.6867,1.0134953416271848,38.3685,41.7236,0.6023888888888889,0.055382114541710215,40.28908888888889,0.9966222222222222,0.3942333333333333,3.3551,4.226982843118727,2.553740526743682,65.88219127547727,10,89 & 9 points,1,Chuck,Chuck_1x
2,9,2024-07-05,2024-07-05_09,9,39.89678888888889,1.0195255813912225,38.5719,41.9445,0.6042222222222222,0.0554417211533376,40.50101111111111,0.9963555555555555,0.39213333333333333,3.3725999999999985,4.22665594641284,2.5554076149601017,66.02999264435455,10,89 & 9 points,1,Chuck,Chuck_1x
2,10,2024-07-05,2024-07-05_10,9,39.84101111111111,1.0185826002888063,38.5168,41.8825,0.6023777777777778,0.05557550669534596,40.44338888888889,0.9962555555555556,0.39387777777777777,3.365699999999997,4.223913884380999,2.5566183484854825,66.13957649315674,10,89 & 9 points,1,Chuck,Chuck_1x
3,1,2024-07-09,2024-07-09_01,9,40.72432222222223,1.0375865949136227,39.3368,42.7286,0.6308,0.05690762251227863,41.35512222222222,0.9962333333333334,0.36543333333333333,3.3918000000000035,4.164341866135693,2.5478302358275666,64.55980060593251,10,89 & 9 points,9,Chuck,Chuck_9x
3,2,2024-07-09,2024-07-09_02,9,40.55747777777778,1.0210681903988783,39.1942,42.5868,0.6342666666666666,0.05516076504183022,41.191744444444446,0.996588888888889,0.3623222222222222,3.3925999999999945,4.182459297134677,2.517583060745314,63.94388970639759,10,89 & 9 points,9,Chuck,Chuck_9x
3,3,2024-07-09,2024-07-09_03,9,40.692055555555555,1.031837048800718,39.311,42.7497,0.6339888888888888,0.055288978206430174,41.32604444444444,1.004388888888889,0.3704,3.438699999999997,4.225271927225759,2.5357211247094265,64.18417778089346,10,89 & 9 points,9,Chuck,Chuck_9x
3,4,2024-07-09,2024-07-09_04,9,40.53012222222222,1.0302822134951382,39.151,42.5907,0.6276444444444444,0.05518186094884605,41.15776666666667,1.0056222222222222,0.3779777777777778,3.439699999999995,4.24338715430032,2.5420160537543253,64.57497167540008,10,89 & 9 points,9,Chuck,Chuck_9x
