lot_number,wafer_number,date,experiment_key,n_points,si_etch_mean,si_etch_std,si_etch_min,si_etch_max,oxide_etch_mean,oxide_etch_std,stepheight_mean,preox_mean,postox_mean,si_etch_range,si_nu_pct,si_cv_pct,selectivity,si_etch_center,si_etch_edge,center_to_edge,n_interpolated,n_wafers_planned,measurements,cond_rep,cond_type,cond_label
2,2,2024-07-05,2024-07-05_02,89,44.20844943820225,3.6585005708723823,40.5446,52.1452,0.5980765559550562,0.076130926125645,44.60828651685393,0.9979136346067415,0.39983707865168544,11.6006,13.120342544716651,8.27556862401722,73.91771002895555,42.1107,50.521300000000004,8.410600000000002,0,10,89 & 9 points,1,Chuck,Chuck_1x
2,3,2024-07-05,2024-07-05_03,89,43.951485978988764,3.547390219150668,40.3631,51.6801,0.5907246180449438,0.07703673805977639,44.358108988764045,0.9973476278539325,0.40662300980898874,11.317,12.87442250008356,8.07114967818498,74.40266519524809,42.05128,50.0612126065,8.009932606500001,1,10,89 & 9 points,1,Chuck,Chuck_1x
2,4,2024-07-05,2024-07-05_04,89,43.42695056179775,3.4667307130888556,39.9051,51.0643,0.5819923061797753,0.07664512303867446,43.84211573033708,0.9971574747191012,0.41516516853932584,11.159200000000006,12.848242687591148,7.982901558228459,74.6177399609529,41.59842,49.38988,7.791460000000001,0,10,89 & 9 points,1,Chuck,Chuck_1x
2,5,2024-07-05,2024-07-05_05,89,43.54600561797753,3.4666253747622258,40.0046,51.2281,0.5797892122921349,0.07721118381751713,43.963177528089886,0.9969611224044944,0.4171719101123596,11.223499999999994,12.886945473784726,7.960834353383412,75.1066158092577,41.73354,49.499005,7.765464999999999,0,10,89 & 9 points,1,Chuck,Chuck_1x
2,6,2024-07-05,2024-07-05_06,89,43.416213483146066,3.452597133719872,39.8772,51.0924,0.5777132975280899,0.07605620153330463,43.83573707865168,0.9972368930337079,0.419523595505618,11.215199999999996,12.915912167644093,7.952322085987879,75.1518333902208,41.61698,49.338364999999996,7.721384999999998,0,10,89 & 9 points,1,Chuck,Chuck_1x
2,7,2024-07-05,2024-07-05_07,89,43.297787640449435,3.4500261525299996,39.7664,50.9669,0.5753676929662921,0.07620234166480849,43.71951011235955,0.9970901648764046,0.4217224719101123,11.200500000000005,12.934263631447457,7.968134956870022,75.2523789043992,41.41136,49.22028,7.8089200000000005,0,10,89 & 9 points,1,Chuck,Chuck_1x
2,8,2024-07-05,2024-07-05_08,89,42.96067191011236,3.4267495520532942,39.4479,50.5389,0.5709934237752808,0.07511367315275033,43.38643033707865,0.9967518507415731,0.4257584269662921,11.091000000000001,12.90831766226325,7.9764803474749275,75.23847056953126,41.18886,48.843185,7.654325,0,10,89 & 9 points,1,Chuck,Chuck_1x
2,9,2024-07-05,2024-07-05_09,89,43.18773370786516,3.447464424166889,39.6556,50.8204,0.5728502397977528,0.07496625728833949,43.61134943820225,0.9964659701348314,0.4236157303370786,11.1648,12.925892425291483,7.982508291559303,75.3909673200325,41.41296,49.10559,7.692630000000001,0,10,89 & 9 points,1,Chuck,Chuck_1x
2,10,2024-07-05,2024-07-05_10,89,43.10430337078652,3.4263373788217737,39.5785,50.7233,0.5709217213146067,0.07527061642303443,43.529723595505615,0.9963419460337078,0.4254202247191011,11.144800000000004,12.927711537443932,7.948945026087435,75.49949802493829,41.35866,48.9793,7.620640000000002,0,10,89 & 9 points,1,Chuck,Chuck_1x
3,1,2024-07-09,2024-07-09_01,89,44.18354494382022,3.6836329448352063,40.4958,52.5449,0.5995751122808989,0.07731136310123755,44.58028202247191,0.9963121909325843,0.39673707865168545,12.049099999999996,13.63527984832423,8.337114981423467,73.69142587613007,42.16232,50.52049,8.358170000000001,0,10,89 & 9 points,9,Chuck,Chuck_9x
3,2,2024-07-09,2024-07-09_02,89,43.90555393258427,3.620144491216546,39.2308,52.0478,0.6032920311348314,0.07489236860134776,44.2989595505618,0.9966976491123596,0.3934056179775281,12.817,14.596103285338502,8.245299664764907,72.77661839821599,41.969640000000005,49.77919,7.809549999999994,0,10,89 & 9 points,9,Chuck,Chuck_9x
