tol_pct,9pt_웨이퍼평균_단기,9pt_웨이퍼평균_장기,9pt_전측정점,89pt_웨이퍼평균_단기,89pt_웨이퍼평균_장기,89pt_전측정점
2.4000000000000004,1.5206444546167246,0.9293465096055765,0.3147865542122773,1.4000384769376757,0.8692146113172148,0.09677320714269663
2.5,1.5840046402257546,0.968069280839142,0.3279026606377888,1.4583734134767452,0.9054318867887652,0.10080542410697564
2.6,1.6473648258347848,1.0067920520727078,0.3410187670633004,1.5167083500158152,0.941649162260316,0.10483764107125466
2.7,1.710725011443815,1.0455148233062734,0.354134873488812,1.5750432865548851,0.9778664377318667,0.10886985803553369
2.8000000000000003,1.774085197052845,1.084237594539839,0.3672509799143236,1.633378223093955,1.0140837132034175,0.11290207499981274
2.9000000000000004,1.8374453826618753,1.1229603657734049,0.3803670863398351,1.691713159633025,1.050300988674968,0.11693429196409176
3.0,1.9008055682709055,1.1616831370069705,0.39348319276534666,1.7500480961720946,1.0865182641465183,0.12096650892837076
3.1,1.9641657538799355,1.200405908240536,0.40659929919085813,1.8083830327111643,1.122735539618069,0.12499872589264979
3.2,2.027525939488966,1.2391286794741019,0.4197154056163698,1.8667179692502343,1.1589528150896198,0.12903094285692882
3.3000000000000003,2.0908861250979958,1.2778514507076675,0.43283151204188125,1.9250529057893038,1.1951700905611702,0.13306315982120787
3.4000000000000004,2.1542463107070264,1.3165742219412333,0.4459476184673929,1.983387842328374,1.231387366032721,0.13709537678548686
3.5,2.217606496316056,1.355296993174799,0.45906372489290437,2.0417227788674435,1.2676046415042714,0.14112759374976588
3.6,2.2809666819250864,1.3940197644083645,0.472179831318416,2.100057715406513,1.303821916975822,0.14515981071404493
3.7,2.3443268675341167,1.4327425356419303,0.4852959377439275,2.1583926519455834,1.340039192447373,0.14919202767832393
3.8000000000000003,2.407687053143147,1.471465306875496,0.498412044169439,2.2167275884846536,1.3762564679189235,0.15322424464260298
3.9000000000000004,2.4710472387521767,1.5101880781090615,0.5115281505949506,2.275062525023723,1.412473743390474,0.157256461606882
4.0,2.5344074243612074,1.5489108493426273,0.5246442570204621,2.3333974615627926,1.4486910188620246,0.16128867857116103
4.1,2.597767609970237,1.587633620576193,0.5377603634459737,2.3917323981018623,1.484908294333575,0.16532089553544005
4.2,2.6611277955792674,1.6263563918097586,0.5508764698714853,2.4500673346409325,1.5211255698051258,0.16935311249971907
4.300000000000001,2.724487981188298,1.6650791630433246,0.5639925762969968,2.5084022711800023,1.5573428452766767,0.17338532946399812
4.4,2.7878481667973283,1.7038019342768902,0.5771086827225085,2.566737207719072,1.593560120748227,0.17741754642827715
4.5,2.8512083524063576,1.7425247055104556,0.5902247891480199,2.6250721442581417,1.6297773962197777,0.18144976339255614
4.6000000000000005,2.9145685380153887,1.7812474767440216,0.6033408955735315,2.683407080797212,1.6659946716913283,0.18548198035683516
4.7,2.977928723624418,1.819970247977587,0.6164570019990431,2.7417420173362816,1.702211947162879,0.1895141973211142
4.8,3.0412889092334487,1.8586930192111528,0.6295731084245545,2.800076953875351,1.7384292226344293,0.1935464142853932
4.9,3.104649094842479,1.8974157904447184,0.6426892148500661,2.858411890414421,1.7746464981059802,0.19757863124967223
5.0,3.168009280451509,1.936138561678284,0.6558053212755776,2.9167468269534904,1.8108637735775304,0.20161084821395128
5.1000000000000005,3.2313694660605394,1.9748613329118498,0.6689214277010893,2.9750817634925606,1.8470810490490814,0.20564306517823033
5.2,3.2947296516695697,2.0135841041454157,0.6820375341266008,3.0334167000316303,1.883298324520632,0.20967528214250933
5.300000000000001,3.3580898372785994,2.052306875378981,0.6951536405521125,3.091751636570701,1.919515599992183,0.21370749910678838
5.4,3.42145002288763,2.091029646612547,0.708269746977624,3.1500865731097702,1.9557328754637333,0.21773971607106737
5.5,3.4848102084966595,2.1297524178461122,0.7213858534031354,3.20842150964884,1.991950150935284,0.2217719330353464
5.6000000000000005,3.54817039410569,2.168475189079678,0.7345019598286472,3.26675644618791,2.028167426406835,0.22580414999962548
5.7,3.6115305797147204,2.207197960313244,0.7476180662541586,3.3250913827269795,2.064384701878385,0.22983636696390444
5.800000000000001,3.6748907653237506,2.2459207315468097,0.7607341726796703,3.38342631926605,2.100601977349936,0.23386858392818352
5.9,3.7382509509327804,2.284643502780375,0.7738502791051817,3.441761255805119,2.1368192528214864,0.2379008008924625
6.0,3.801611136541811,2.323366274013941,0.7869663855306933,3.500096192344189,2.1730365282930366,0.2419330178567415
6.1000000000000005,3.8649713221508413,2.3620890452475067,0.8000824919562048,3.558431128883259,2.2092538037645872,0.2459652348210206
6.2,3.928331507759871,2.400811816481072,0.8131985983817163,3.6167660654223286,2.245471079236138,0.24999745178529958
6.300000000000001,3.991691693368902,2.4395345877146384,0.8263147048072279,3.6751010019613988,2.281688354707689,0.2540296687495786
6.4,4.055051878977932,2.4782573589482038,0.8394308112327395,3.7334359385004685,2.3179056301792396,0.25806188571385763
6.5,4.118412064586962,2.516980130181769,0.8525469176582511,3.791770875039538,2.3541229056507897,0.26209410267813665
6.6000000000000005,4.1817722501959915,2.555702901415335,0.8656630240837625,3.8501058115786075,2.3903401811223404,0.26612631964241573
