phi_deg,sd,offset
330.0,1.4853934239674083,1.3603174246269119
332.0,1.5380901441909662,1.3896286355450609
334.0,1.589957617133672,1.41228985135164
336.0,1.6293725839605038,1.4205079135461856
338.0,1.603908343280328,1.377594886599884
340.0,1.5800914407919007,1.3287412962107343
342.0,1.5586778134963364,1.2740066629533087
344.0,1.5261701311495024,1.2296905612689575
346.0,1.4958142586059247,1.2052557457657234
348.0,1.5015497160333011,1.2034230914974937
350.0,1.5063348439241322,1.1881883544231873
352.0,1.5105800741100472,1.16999641054567
354.0,1.5143590216128473,1.148869423946307
356.0,1.5177674457994326,1.1248331346039078
358.0,1.5209226486309342,1.0979168270345256
