X,Y,r_mm,theta_deg,ring_id,ring_r,n,n_interp,mean,sd,slope,se,ci_lo,ci_hi,p,p_fdr,mean_no_interp,interp_shift
0,-76000,76.0,-90.0,9,76.0,88,6,43.65339737613636,0.3799510983584954,-0.10354156212758914,0.0076468930420457906,-0.11876847150862767,-0.0883146527465506,4.598920944621989e-22,5.0531353589056425e-22,43.6739743902439,0.02057701410753765
76000,0,76.0,0.0,9,76.0,88,0,42.03857045454545,0.3848421148599851,-0.10531869112133556,0.007174002044797022,-0.11960395422556289,-0.09103342801710823,5.06488766835928e-24,7.640254279389423e-24,42.03857045454546,7.105427357601002e-15
0,76000,76.0,90.0,9,76.0,88,0,40.848675,0.4211752752373583,-0.1279131638182917,0.00709602189719066,-0.14204314861084483,-0.11378317902573859,2.3547065766356538e-29,6.168394287553956e-28,40.848675,0.0
-76000,0,76.0,180.0,9,76.0,88,0,42.231771590909084,0.40125442954517493,-0.11143904126722945,0.007872807865914898,-0.12711580453428073,-0.09576227800017817,3.966387818038011e-23,4.770385348721392e-23,42.23177159090909,7.105427357601002e-15
-76000,-19000,78.33900688673555,-165.96375653207352,10,78.34,88,1,42.97896875386363,0.4531045525166697,-0.13104357002587927,0.007841755089589137,-0.14665849931558286,-0.11542864073617566,2.4867851924799916e-27,1.433192135390248e-26,42.988047126436776,0.009078372573142701
-19000,-76000,78.33900688673555,-104.03624346792648,10,78.34,88,11,44.05667010431818,0.3762220455045882,-0.10643516473034054,0.00750226878175418,-0.12137409041739361,-0.09149623904328746,3.493967199266334e-23,4.259768229242517e-23,44.06144155844156,0.00477145412337876
19000,-76000,78.33900688673555,-75.96375653207353,10,78.34,88,11,43.98982615261364,0.362463428789041,-0.10144850204839032,0.007420101347367527,-0.11622381147056318,-0.08667319262621745,2.708517812362028e-22,3.013226066252756e-22,43.99234025974026,0.002514107126621923
76000,-19000,78.33900688673555,-14.036243467926479,10,78.34,88,5,42.73628085443182,0.3941138164228321,-0.10801726370074415,0.007571166968836664,-0.1230933832056595,-0.09294114419582879,2.550867701948718e-23,3.2771553278750866e-23,42.75377228915662,0.017491434724803412
76000,19000,78.33900688673555,14.036243467926479,10,78.34,88,0,42.138169318181816,0.4010635327771246,-0.11141806586081034,0.007152925534099722,-0.1256613602704722,-0.09717477145114846,1.645852542458766e-25,4.308261067024417e-25,42.138169318181816,0.0
19000,76000,78.33900688673555,75.96375653207353,10,78.34,88,0,41.21385,0.417478698747668,-0.1261737807420098,0.0071141865425107444,-0.1403399359643972,-0.11200762551962239,6.473556451135744e-29,8.538132623481255e-28,41.21385,0.0
-19000,76000,78.33900688673555,104.03624346792648,10,78.34,88,1,41.28401041079546,0.439015111798171,-0.13238772521470704,0.007201840280541001,-0.14672842132821942,-0.11804702910119466,6.903213403936922e-30,3.0719299647519305e-28,41.28084712643678,-0.0031632843586777426
-76000,19000,78.33900688673555,165.96375653207352,10,78.34,88,0,42.36106136363637,0.41832901763542585,-0.1193591829929482,0.007895912539785176,-0.1350819535433977,-0.10363641244249872,9.437843859347404e-25,1.714220619350855e-24,42.36106136363637,0.0
-57000,-57000,80.61017305526643,-135.0,11,80.61,88,13,44.15888716704546,0.41039664983445334,-0.11843061855776942,0.007553918819376102,-0.1334723926092591,-0.10338884450627972,1.1237325485774116e-25,3.2261998975286977e-25,44.149650666666666,-0.009236500378790424
57000,-57000,80.61017305526643,-45.0,11,80.61,88,15,43.94205603272727,0.3664867052403775,-0.10002477270366307,0.007197761353363218,-0.11435734663550422,-0.08569219877182192,1.1044233806815159e-22,1.2933379063244069e-22,43.904438356164384,-0.03761767656288839
57000,57000,80.61017305526643,45.0,11,80.61,88,0,41.99748636363636,0.38339325424180204,-0.10571819924972188,0.007632828954210628,-0.12091710345404152,-0.09051929504540224,1.3275661201027867e-22,1.5344595414175066e-22,41.99748636363636,0.0
-57000,57000,80.61017305526643,135.0,11,80.61,88,0,42.228339772727274,0.42419093010289227,-0.12115330554401173,0.007607384617802307,-0.13630154360162056,-0.1060050674864029,4.450846093575458e-26,1.6505220930342324e-25,42.228339772727274,0.0
-76000,-38000,84.970583144992,-153.434948822922,12,84.97,88,10,44.88950011409091,1.8093902638630885,-0.17244506171075016,0.06795724800346921,-0.3077652304961567,-0.0371248929253436,0.013183614745823115,0.013333428549752923,44.81610512820513,-0.07339498588577698
-38000,-76000,84.970583144992,-116.56505117707799,12,84.97,88,4,45.77528273670455,0.4129616933628987,-0.12073153821012551,0.007638095716800578,-0.13594092987860185,-0.10552214654164917,6.944733023005765e-26,2.1313146174052173e-25,45.74535357142857,-0.029929165275973446
38000,-76000,84.970583144992,-63.43494882292201,12,84.97,88,5,45.60315271693182,0.38401884920445545,-0.10837298487456887,0.007625115627747613,-0.12355652988366596,-0.09318943986547178,3.158866958975801e-23,3.904710546511754e-23,45.5663313253012,-0.036821391630617484
76000,-38000,84.970583144992,-26.56505117707799,12,84.97,88,9,44.76606582727273,0.39300932395839794,-0.10899937179328416,0.0075438454823891915,-0.12402108726822245,-0.09397765631834587,1.2498748978167655e-23,1.6854373622074563e-23,44.71420253164557,-0.05186329562716452
76000,38000,84.970583144992,26.56505117707799,12,84.97,88,7,43.57074523477272,0.43311771881933714,-0.1223562028178768,0.007992736467981612,-0.13827177444092623,-0.10644063119482738,4.5406186663691445e-25,9.621787173972712e-25,43.589637037037036,0.01889180226431364
38000,76000,84.970583144992,63.43494882292201,12,84.97,88,0,42.98687386363636,0.4297412960060354,-0.12451856606923085,0.007672602931938511,-0.1397966703815232,-0.1092404617569385,1.4476396943519138e-26,6.441996639866017e-26,42.98687386363636,0.0
-38000,76000,84.970583144992,116.56505117707799,12,84.97,88,0,43.15305681818182,0.458662448138376,-0.13171079616510445,0.008384887560623229,-0.14840724037503283,-0.11501435195517606,1.0037839700468709e-25,2.9778924444723837e-25,43.15305681818182,0.0
-76000,38000,84.970583144992,153.434948822922,12,84.97,88,4,43.90654845443182,0.5134924482399115,-0.15275175703296678,0.008293677717983599,-0.16926657924283633,-0.13623693482309723,6.11688803273484e-30,3.0719299647519305e-28,43.92637380952381,0.019825355091988683
-76000,-57000,95.0,-143.13010235415598,13,95.0,88,0,50.95295340909092,0.581248871450911,-0.1732832847020021,0.010008386894566667,-0.19321252909655548,-0.15335404030744873,2.8613731577697357e-28,2.546622110415065e-27,50.95295340909092,0.0
-57000,-76000,95.0,-126.86989764584402,13,95.0,88,0,51.24600909090909,0.5545314390797872,-0.163921533972531,0.009932603962245972,-0.1836998752700054,-0.14414319267505663,5.291883693376674e-27,2.6165424928362443e-26,51.24600909090909,0.0
0,-95000,95.0,-90.0,13,95.0,88,0,51.38348068181819,0.4882317004258116,-0.14228471029599926,0.009291786917492328,-0.16078702183646815,-0.12378239875553038,4.46309941603681e-25,9.621787173972712e-25,51.38348068181818,-1.4210854715202004e-14
57000,-76000,95.0,-53.13010235415598,13,95.0,88,0,50.99034886363636,0.4737225935406477,-0.13132963734893785,0.009578766498825955,-0.15040339824212404,-0.11225587645575166,2.3224493789279004e-22,2.616430312969407e-22,50.99034886363636,0.0
76000,-57000,95.0,-36.86989764584402,13,95.0,88,0,50.60533295454545,0.4882084835234573,-0.13559509795752367,0.009704958192565453,-0.15492013861553014,-0.1162700572995172,8.193479491756038e-23,9.722928996883832e-23,50.60533295454545,0.0
95000,0,95.0,0.0,13,95.0,88,0,49.625332954545456,0.5131078020140822,-0.1453383326386404,0.009828783712098806,-0.16490994140667892,-0.1257667238706019,3.353547219169139e-24,5.450087294768676e-24,49.625332954545456,0.0
76000,57000,95.0,36.86989764584402,13,95.0,88,3,48.774758298181816,0.554925121866156,-0.1579705760117122,0.010392674024687742,-0.17866503384321034,-0.13727611818021404,6.857124795482458e-25,1.3561869039954195e-24,48.74682235294118,-0.027935945240635363
57000,76000,95.0,53.13010235415598,13,95.0,88,9,48.37256035386363,0.5797511360695049,-0.16767664336477575,0.010863421753831847,-0.18930847968105122,-0.14604480704850029,2.8094611323582726e-25,6.94561224388573e-25,48.30278101265823,-0.06977934120540397
0,95000,95.0,90.0,13,95.0,88,10,48.13760208170454,0.6225669747312343,-0.18471146149649642,0.012163594294571863,-0.20893227209928372,-0.16049065089370912,7.2496791529446e-25,1.4026553143740639e-24,48.175015384615385,0.037413302910842106
-57000,76000,95.0,126.86989764584402,13,95.0,88,4,48.77263253420454,0.6435453373167985,-0.1930061974748215,0.01096883814931547,-0.21484794465194973,-0.17116445029769328,1.0564331692213072e-28,1.044695022896626e-27,48.73795119047619,-0.03468134372835152
-76000,57000,95.0,143.13010235415598,13,95.0,88,0,49.2125125,0.6529236847578861,-0.19478436848690994,0.011028047156446617,-0.21674401585973463,-0.17282472111408526,8.3564145923085e-29,9.296511233943206e-28,49.2125125,0.0
-95000,0,95.0,180.0,13,95.0,88,0,50.11109204545455,0.6342462869144239,-0.19079069612342647,0.010611899608489479,-0.2119216878622514,-0.16965970438460154,2.7723120393500924e-29,6.168394287553956e-28,50.11109204545455,0.0
-95000,-19000,96.88137075826292,-168.6900675259798,14,96.88,88,0,50.07723181818182,0.5302854558849348,-0.13880407669866562,0.012137941073115398,-0.16297380521147187,-0.11463434818585938,2.867095738938447e-18,3.0020178913590795e-18,50.07723181818182,0.0
-19000,-95000,96.88137075826292,-101.30993247402021,14,96.88,88,0,51.48930681818181,0.5631797023991165,-0.16495498957903384,0.010569643425801769,-0.18600183850834956,-0.14390814064971813,1.470527490024298e-25,3.96596807915644e-25,51.489306818181824,1.4210854715202004e-14
19000,-95000,96.88137075826292,-78.69006752597979,14,96.88,88,0,51.58269659090909,0.5824857349047744,-0.17147857440604558,0.011162090877870592,-0.19370513692833,-0.14925201188376117,3.6963782588396725e-25,8.657306974650813e-25,51.58269659090909,0.0
